NomeBot;IDOrdem;Data;Odd;Stake;PL
OVER 0.5 HT [1.71- 2];301811367599;2023-04-01;1.77;2;-2
OVER 0.5 HT [1.71- 2];301907732129;2023-04-02;1.72;2;1.44
OVER 0.5 HT [1.71- 2];301925531920;2023-04-02;1.74;2;1.48
OVER 0.5 HT [1.71- 2];301957673760;2023-04-02;1.7;2;-2
OVER 0.5 HT [1.71- 2];301998255831;2023-04-02;1.73;2;-2
OVER 0.5 HT [1.71- 2];302062124357;2023-04-03;1.84;2;-2
OVER 0.5 HT [1.71- 2];302072353018;2023-04-03;1.78;2;1.56
OVER 0.5 HT [1.71- 2];302164811270;2023-04-04;1.71;2;1.42
OVER 0.5 HT [1.71- 2];302168308968;2023-04-04;1.74;2;1.48
OVER 0.5 HT [1.71- 2];302300017677;2023-04-05;1.77;2;1.54
OVER 0.5 HT [1.71- 2];302315328774;2023-04-06;1.75;2;1.5
OVER 0.5 HT [1.71- 2];302422546095;2023-04-06;1.75;2;1.5
OVER 0.5 HT [1.71- 2];302483353028;2023-04-07;1.73;2;1.46
OVER 0.5 HT [1.71- 2];302492638522;2023-04-07;1.74;2;1.48
OVER 0.5 HT [1.71- 2];302493115656;2023-04-07;1.72;2;1.44
OVER 0.5 HT [1.71- 2];302615940837;2023-04-08;1.71;2;1.42
OVER 0.5 HT [1.71- 2];302627412922;2023-04-08;1.72;2;1.44
OVER 0.5 HT [1.71- 2];302639937648;2023-04-08;1.8;2;1.6
OVER 0.5 HT [1.71- 2];302645887164;2023-04-08;1.74;2;1.48
OVER 0.5 HT [1.71- 2];302653292066;2023-04-08;1.72;2;1.44
OVER 0.5 HT [1.71- 2];302660711150;2023-04-08;1.75;2;-2
OVER 0.5 HT [1.71- 2];302696235721;2023-04-08;1.79;2;1.58
OVER 0.5 HT [1.71- 2];302737057017;2023-04-08;1.83;2;-2
OVER 0.5 HT [1.71- 2];302745461913;2023-04-08;1.74;2;-2
OVER 0.5 HT [1.71- 2];302756439207;2023-04-09;1.73;2;1.46
OVER 0.5 HT [1.71- 2];302868847361;2023-04-09;1.72;2;1.44
OVER 0.5 HT [1.71- 2];302878312578;2023-04-09;1.73;2;1.46
OVER 0.5 HT [1.71- 2];302898648074;2023-04-09;1.72;2;1.44
